Facility Name,address,city,state,zip,pass fail,score
SHENG KEE BAKERY,10961 N WOLFE RD,CUPERTINO,CA,95014,Pass,98
CUPERTINO SPECIALTY FOODS,7335 BOLLINGER RD,CUPERTINO,CA,95014,Pass,91
MA'S RESTAURANT,10885 N WOLFE RD,CUPERTINO,CA,95014,Pass,91
KENTUCKY FRIED CHICKEN #057,10520 S DE ANZA BL,CUPERTINO,CA,95014,Pass,93
L.P. COLLINS ELEMENTARY SCHOOL,10300 N BLANEY AV,CUPERTINO,CA,95014,Pass,98
JOY LUCK PLACE,10911 N WOLFE RD,CUPERTINO,CA,95014,Pass,89
STARBUCKS COFFEE #5662,11111 N WOLFE RD,CUPERTINO,CA,95014,Pass,100
99 RANCH MARKET-DELI,10983 N WOLFE RD,CUPERTINO,CA,95014,Pass,95
99 RANCH MARKET-BAKERY,10983 N WOLFE RD,CUPERTINO,CA,95014,Pass,95
JW KITCHEN,20450 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,95
FLORENTINE RESTAURANT,10275 S DE ANZA BL,CUPERTINO,CA,95014,Pass*,81*
PEACOCK INDIAN CUISINE,10251 S DE ANZA BL,CUPERTINO,CA,95014,Pass*,51*
ARMADILLO WILLY'S,10100 S DE ANZA BL,CUPERTINO,CA,95014,Pass*,95*
I LOVE BENTO,10129 S DE ANZA BL,CUPERTINO,CA,95014,Pass*,96*
LAWSON MIDDLE SCHOOL,10401 VISTA DR,CUPERTINO,CA,95014,Pass,98
LE BOULANGER,20488 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,86
FUSION AFTER SCHOOL @ GOOD SHEPHERD,940 S STELLING RD,CUPERTINO,CA,95014,Pass,100
PIZZA MY HEART,20530 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,87
SELF HELP FOR ELDERLY@GOOD SHEPHERD CHRISTIAN CHURCH,940 S STELLING ,CUPERTINO,CA,95014,Pass,100
ST JOSEPH CUPERTINO CHURCH,10110 N DE ANZA BL,CUPERTINO,CA,95014,Pass,98
HONG FU GOURMET CHINESE RESTAURA,20588 STEVENS CREEK BL,CUPERTINO,CA,95014,Conditional Pass*,59*
REGNART ELEMENTARY SCHOOL,1170 YORKSHIRE DR,CUPERTINO,CA,95014,Pass,87
PHILZ COFFEE,20686 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,77*
FREEBIRDS WORLD BURRITO,20688 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,96
SUBWAY SANDWICHES #42133,19998 HOMESTEAD RD,CUPERTINO,CA,95014,Pass,100
MARINA FOOD II-CHINESE KITCHEN,10122 BANDLEY DR,CUPERTINO,CA,95014,Pass,76
SPICY STATION,10118 BANDLEY DR,CUPERTINO,CA,95014,Pass*,85*
NOODLES & COMPANY,20735 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,84
LEI GARDEN,10125 BANDLEY DR,CUPERTINO,CA,95014,Pass*,57*
WHAT8VER EXPRESS,10118 BANDLEY DR,CUPERTINO,CA,95014,Pass,84
PHO MINH,10118 BANDLEY DR,CUPERTINO,CA,95014,Pass,81*
TARGET STORE #323-TACO BELL/PIZZA,20745 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,100
FARIA ELEMENTARY SCHOOL,10155 BARBARA LN,CUPERTINO,CA,95014,Pass,98
PIZZA HUT #281101,20770 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,89*
BAGEL STREET CAFE - CUPERTINO,10591 N DE ANZA BL,CUPERTINO,CA,95014,Pass,94
FONTANA'S,20840 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,73
PANERA BREAD,20807 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,90
OUTBACK STEAKHOUSE,20630 VALLEY GREEN DR,CUPERTINO,CA,95014,Pass*,79*
J & J HAWAIIAN BBQ,20950 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,84
DOSATERIA,20955 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,85
WHOLE FOODS MARKET - TAPROOM & JUICE BAR,20955 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,96
WHOLE FOODS MARKET - DELI,20955 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,77
WHOLE FOODS MARKET - BAKERY,20955 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,100
KIKKA - STEVENS CREEK,20955 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,94
JOHN F KENNEDY MIDDLE SCHOOL,821 BUBB RD,CUPERTINO,CA,95014,Pass,97
CUPERTINO INN,10889 N DE ANZA BL,CUPERTINO,CA,95014,Pass,97
LA TERRA,19960 HOMESTEAD RD,CUPERTINO,CA,95014,Pass,95
CUPERTINO SENIOR CENTER,21251 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,97
JAMBA JUICE #4,21265 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,81*
A-PLUS TEA HOUSE,21265 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,66*
TOGO'S CUPERTINO,21267 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,100
HOBEE'S DE ANZA,21267 STEVENS CREEK BL,CUPERTINO,CA,95014,Conditional Pass*,71*
SITAR EXPRESS INDIAN CUISINE,21267 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,78
LINCOLN SCHOOL,21710 MC CLELLAN RD,CUPERTINO,CA,95014,Pass,90
PHO SUNFLOWER,21271 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,96*
OG SLIDERS,21275 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,88
BLUELIGHT CINEMAS,21275 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,86
OAKMONT MARKET- BAKERY,19952 HOMESTEAD RD,CUPERTINO,CA,95014,Pass,92
GARDEN GATE SCHOOL,10500 ANN ARBOR AV,CUPERTINO,CA,95014,Pass,100
